CID,Gender,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Card Status,Risk Class
14000072,Woman,300,79.35,45,267.73,9.69,301.3,0,Active,LowRisk
14000075,Man,600,25.64,90,396.73,8.88,405.61,0,Active,LowRisk
14000077,Woman,700,95.73,105,559.34,20.78,636.05,0,Active,LowRisk
14000078,Man,500,59.26,75,126.96,0.75,127.71,0,Active,LowRisk
14000084,Man,300,58.82,45,272.37,28.47,300.84,0,Active,LowRisk
14000089,Woman,300,14.93,45,299.18,11.06,339.66,0,Active,LowRisk
14000093,Man,500,32.17,75,469.26,8.4537,477.71,0,Active,LowRisk
14000094,Man,600,71.87,90,600,22.32,622.32,0,Active,LowRisk
14000095,Man,900,45.42,135,190.81,3.59,194.4,0,Active,LowRisk
14000106,Woman,300,35.45,45,199.21,5.76,204.97,0,Active,LowRisk
14000107,Man,500,39.24,75,498.17,36.97,568.51,0,Active,LowRisk
14000111,Man,600,128.93,90,502.7,1.2,503.9,0,Active,LowRisk
14000114,Man,300,167.54,45,298.47,8.9,307.37,0,Active,LowRisk
14000118,Woman,500,49.34,75,497.82,14.88,512.7,0,Active,LowRisk
14000120,Man,400,30.71,60,399.26,29.67,457.95,0,Active,LowRisk
14000121,Woman,600,40.03,90,584.27,43.42,696.55,0,Active,LowRisk
14000122,Woman,300,36,45,113.57,4.32,129.25,0,Stolen,LowRisk
14000126,Woman,500,42.78,75,495.65,19.7,564.92,0,Active,LowRisk
14000129,Man,600,23.73,90,598.06,22.19,679.28,0,Active,LowRisk
14000130,Man,500,43.34,75,277.68,7.26,284.94,0,Active,LowRisk
14000138,Man,500,51.14,75,496.96,18.2,558.57,0,Active,LowRisk
14000142,Man,400,19.17,60,387.83,14.55,441.16,0,Active,LowRisk
14000154,Man,300,20.22,45,104.35,2.98,107.33,0,Active,LowRisk
14000166,Man,300,77.15,45,296.73,9.76,306.49,0,Active,LowRisk
14000177,Man,600,22.62,90,588.06,13.28,601.34,0,Active,LowRisk
14000186,Man,300,29.94,45,336.27,14.47,384.37,0,Active,LowRisk
14000190,Man,500,29.08,75,405.15,12.47,445.26,0,Active,LowRisk
14000191,Man,500,34.48,75,496.65,18.47,563.97,0,Active,LowRisk
14000197,Man,300,96.35,45,296.25,8.66,305.04,0,Active,LowRisk
14000214,Woman,300,19.04,45,293.52,10.46,330.39,0,Active,LowRisk
14000215,Man,400,19.54,60,396.34,58.38,484.74,0,Active,LowRisk
14000220,Woman,300,31.76,45,292.71,21.72,329.97,0,Active,LowRisk
14000226,Woman,300,18.46,45,297.02,11.03,336.96,0,Active,LowRisk
14000227,Man,300,24.9,45,202.67,2.54,205.21,0,Active,LowRisk
14000234,Man,300,35.86,45,263.21,9.9,299.43,0,Active,LowRisk
